movie_id,title,genres,directors,actors,overview
11,The American President,Comedy|Romance|Drama,Rob Reiner,Anna Deavere Smith|Annette Bening|Martin Sheen|Michael J. Fox|Michael Douglas,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings."
12,Dracula: Dead and Loving It,Comedy|Horror,Mel Brooks,Leslie Nielsen|Peter MacNicol|Lysette Anthony|Amy Yasbeck|Mel Brooks,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count."
13,Balto,Adventure|Animation|Children,Simon Wells,Bridget Fonda|Bob Hoskins|Jim Cummings|Phil Collins|Kevin Bacon,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
14,Nixon,Drama,Oliver Stone,Bob Hoskins|Joan Allen|Powers Boothe|Ed Harris|Anthony Hopkins,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.
15,Cutthroat Island,Adventure|Action|Romance,Renny Harlin,Maury Chaykin|Geena Davis|Matthew Modine|Patrick Malahide|Frank Langella,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
16,Casino,Crime|Drama,Martin Scorsese,Joe Pesci|Sharon Stone|Robert De Niro|James Woods|Don Rickles,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger."
17,Sense and Sensibility,Romance|Drama,Ang Lee,Hugh Grant|Emma Thompson|Alan Rickman|Kate Winslet|Gemma Jones,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men."
18,Four Rooms,Comedy,Quentin Tarantino|Allison Anders|Alexandre Rockwell|Robert Rodriguez,Madonna|Jennifer Beals|Ione Skye|Tim Roth|David Proval,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
19,Ace Ventura: When Nature Calls,Comedy,Steve Oedekerk,Jim Carrey|Simon Callow|Bob Gunton|Ian McNeice|Maynard Eziashi,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."
20,Money Train,Comedy|Thriller|Action|Crime|Drama,Joseph Ruben,Chris Cooper|Wesley Snipes|Woody Harrelson|Robert Blake|Jennifer Lopez,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him."
21,Get Shorty,Comedy|Thriller|Crime,Barry Sonnenfeld,Danny DeVito|Dennis Farina|Rene Russo|Gene Hackman|John Travolta,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."
22,Copycat,Thriller|Horror|Crime|Drama|Mystery,Jon Amiel,Sigourney Weaver|Dermot Mulroney|William McNamara|Holly Hunter|Harry Connick Jr.,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,Assassins,Thriller|Action|Crime,Richard Donner,Anatoli Davydov|Julianne Moore|Muse Watson|Sylvester Stallone|Antonio Banderas,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."
24,Powder,Drama|Sci-Fi,Victor Salva,Sean Patrick Flanery|Jeff Goldblum|Mary Steenburgen|Lance Henriksen|Brandon Smith,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."
25,Leaving Las Vegas,Romance|Drama,Mike Figgis,Richard Lewis|Julian Sands|Elisabeth Shue|Nicolas Cage|Steven Weber,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
26,Othello,Drama,Oliver Parker,Nathaniel Parker|Laurence Fishburne|Kenneth Branagh|Michael Maloney|Irène Jacob,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
27,Now and Then,Drama|Children,Lesli Linka Glatter,Gaby Hoffmann|Thora Birch|Rosie O'Donnell|Christina Ricci|Melanie Griffith,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more."
28,Persuasion,Romance|Drama,Roger Michell,Ciarán Hinds|Fiona Shaw|Amanda Root|Susan Fleetwood|John Woodvine,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth – the dashing one she once sent away – crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances."
29,The City of Lost Children,Adventure|Drama|Sci-Fi|Mystery|Fantasy,Marc Caro|Jean-Pierre Jeunet,Dominique Pinon|Jean-Claude Dreyfus|Ron Perlman|Judith Vittet|Daniel Emilfork,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
30,Shanghai Triad,Crime|Drama,Zhang Yimou,Li Xuejian|Gong Li|Liu Jiang|Li Baotian|Sun Chun,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows."
31,Dangerous Minds,Drama,John N. Smith,Courtney B. Vance|Beatrice Winde|George Dzundza|Robin Bartlett|Michelle Pfeiffer,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost."
32,Twelve Monkeys,Thriller|Sci-Fi|Mystery,Terry Gilliam,Bruce Willis|Brad Pitt|Madeleine Stowe|Christopher Plummer|David Morse,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease."
34,Babe,Drama|Children,Chris Noonan,Danny Mann|Hugo Weaving|Miriam Flynn|Christine Cavanaugh|Miriam Margolyes,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be."
36,Dead Man Walking,Crime|Drama,Tim Robbins,Raymond J. Barry|Robert Prosky|Sean Penn|R. Lee Ermey|Susan Sarandon,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.
38,It Takes Two,Comedy|Children,Andy Tennant,Jane Sibbett|Ashley Olsen|Steve Guttenberg|Kirstie Alley|Mary-Kate Olsen,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda."
39,Clueless,Comedy|Romance,Amy Heckerling,Paul Rudd|Alicia Silverstone|Brittany Murphy|Donald Faison|Stacey Dash,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him."
40,"Cry, the Beloved Country",Drama,Darrell James Roodt,James Earl Jones|Tsholofelo Wechoemang|Vusi Kunene|Richard Harris|Charles S. Dutton,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
41,Richard III,War|Drama,Richard Loncraine,Robert Downey Jr.|Annette Bening|Ian McKellen|Kristin Scott Thomas|Jim Broadbent,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised."
42,Dead Presidents,Action|Crime|Drama,Allen Hughes|Albert Hughes,Keith David|Freddy Rodríguez|Rose Jackson|Larenz Tate|Chris Tucker,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!
43,Restoration,Drama,Michael Hoffman,Meg Ryan|Robert Downey Jr.|Hugh Grant|Sam Neill|David Thewlis,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician."
44,Mortal Kombat,Adventure|Action|Fantasy,Paul W. S. Anderson,Christopher Lambert|Bridgette Wilson-Sampras|Linden Ashby|Robin Shou|Cary-Hiroyuki Tagawa,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time."
45,To Die For,Comedy|Thriller|Drama,Gus Van Sant,Casey Affleck|Illeana Douglas|Joaquin Phoenix|Matt Dillon|Nicole Kidman,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary."
46,How to Make an American Quilt,Romance|Drama,Jocelyn Moorhouse,Winona Ryder|Kate Nelligan|Jean Simmons|Ellen Burstyn|Anne Bancroft,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom."
47,Se7en,Thriller|Mystery,David Fincher,Peter Crombie|Brad Pitt|John Cassini|Morgan Freeman|Gwyneth Paltrow,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
48,Pocahontas,Animation|Romance|Drama|Children|Musical,Eric Goldberg|Mike Gabriel,Irene Bedard|John Kassir|David Ogden Stiers|Mel Gibson|Christian Bale,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia."
49,When Night Is Falling,Romance|Drama,Patricia Rozema,Henry Czerny|Don McKellar|Pascale Bussières|Rachael Crawford|David Fox,"Camille is a professor at a Protestant college and is in a long-term relationship Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray."
50,The Usual Suspects,Thriller|Crime|Mystery,Bryan Singer,Benicio del Toro|Kevin Spacey|Kevin Pollak|Gabriel Byrne|Stephen Baldwin,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
52,Mighty Aphrodite,Comedy|Romance|Drama,Woody Allen,Woody Allen|Donald Symington|Helena Bonham Carter|F. Murray Abraham|Mira Sorvino,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy."
53,Lamerica,Adventure|Drama,Gianni Amelio,Piro Milkani|Michele Placido|Elida Janushi|Carmelo Di Mazzarelli|Enrico Lo Verso,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand."
54,The Big Green,Comedy|Children,Holly Goldberg Sloan,Billy L. Sullivan|Chauncey Leopardi|Steve Guttenberg|Patrick Renna|Olivia d'Abo,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles."
55,Georgia,Drama,Ulu Grosbard,Max Perlich|Mare Winningham|Jennifer Jason Leigh|Ted Levine|John Doe,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain."
57,Home for the Holidays,Drama,Jodie Foster,Robert Downey Jr.|Dylan McDermott|Charles Durning|Holly Hunter|Anne Bancroft,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family."
58,The Postman,Comedy|Romance|Drama,Michael Radford,Renato Scarpa|Maria Grazia Cucinotta|Philippe Noiret|Linda Moretti|Massimo Troisi,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
60,The Indian in the Cupboard,Adventure|Children|Fantasy,Frank Oz,Lindsay Crouse|Hal Scardino|Richard Jenkins|Rishi Bhat|Litefoot,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.
61,Eye for an Eye,Thriller|Drama,John Schlesinger,Kiefer Sutherland|Charlayne Woodard|Sally Field|Ed Harris|Beverly D'Angelo,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter."
62,Mr. Holland's Opus,Drama,Stephen Herek,Richard Dreyfuss|Jay Thomas|Olympia Dukakis|William H. Macy|Glenne Headly,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose."
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,Paris Barclay,Chris Spencer|Tracey Cherelle Jones|Shawn Wayans|Marlon Wayans|Vivica A. Fox,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?"
64,Two If by Sea,Comedy|Romance,Bill Bennett,Yaphet Kotto|Tracey Cherelle Jones|Sandra Bullock|Stephen Dillane|Denis Leary,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned."
65,Bio-Dome,Comedy,Jason Bloom,Pauly Shore|Joey Lauren Adams|William Atherton|Teresa Hill|Stephen Baldwin,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
66,Lawnmower Man 2: Beyond Cyberspace,Thriller|Action|Sci-Fi,Farhad Mann,Matt Frewer|Austin O'Brien|Ely Pouget|Patrick Bergin|Camille Cooper,"After being rescued from the ruins of Virtual Space Industries, Jobe is rebuilt and reconnected to virtual reality by corporate mogul Jonathan Walker. Years later, teenage hacker Peter Parkette helps Jobe locate Benjamin Trace, the original creator of virtual reality, only to uncover Jobe’s plan to launch a new world order using Walker’s tech. Now, Peter, Trace, Cori, and a band of runaways must stop Jobe and Walker before they enslave humanity through cyberspace."
68,French Twist,Comedy|Romance,Josiane Balasko,Catherine Hiegel|Victoria Abril|Alain Chabat|Ticky Holgado|Josiane Balasko,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
69,Friday,Comedy,F. Gary Gray,Ice Cube|John Witherspoon|Nia Long|Tommy Lister Jr.|Chris Tucker,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do."
70,From Dusk Till Dawn,Comedy|Thriller|Action|Horror,Robert Rodriguez,Juliette Lewis|Harvey Keitel|Ernest Liu|Quentin Tarantino|George Clooney,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele."
71,Fair Game,Action,Andrew Sipes,Cindy Crawford|Steven Berkoff|Christopher McDonald|Miguel Sandoval|William Baldwin,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her"
72,Kicking and Screaming,Comedy|Drama,Noah Baumbach,Parker Posey|Josh Hamilton|Olivia d'Abo|Chris Eigeman|Jason Wiles,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies."
73,Les Miserables,War|Drama,Claude Lelouch,Jean-Paul Belmondo|Annie Girardot|Salomé Lelouch|Michel Boujenah|Alessandra Martines,"In France during World War II, a poor and illiterate man, Henri Fortin, is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life."
74,Bed of Roses,Romance|Drama,Michael Goldenberg,Pamela Adlon|Josh Brolin|Brian Tarantina|Christian Slater|Mary Stuart Masterson,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all."
75,Big Bully,Comedy|Drama,Steve Miner,Julianne Phillips|Tom Arnold|Jeffrey Tambor|Carol Kane|Rick Moranis,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
76,Screamers,Thriller|Action|Sci-Fi,Christian Duguay,Liliana Komorowska|Peter Weller|Jennifer Rubin|Roy Dupuis|Andrew Lauer,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms."
77,Nico Icon,Documentary,Susanne Ofteringer,Jackson Browne|Jim Morrison|Nico|Christian Aaron Boulogne|Tina Aumont,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live."
78,The Crossing Guard,Thriller|Action|Crime|Drama,Sean Penn,Anjelica Huston|Piper Laurie|Jack Nicholson|David Morse|Robin Wright,"Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death."
79,The Juror,Thriller|Drama,Brian Gibson,Alec Baldwin|Anne Heche|Joseph Gordon-Levitt|Demi Moore|James Gandolfini,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown."
80,The White Balloon,Drama|Children,Jafar Panahi,Mohsen Kafili|Aida Mohammadkhani|Fereshteh Sadr Orafaee|Anna Borkowska|Mohammad Shahani,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
81,Things to Do in Denver When You're Dead,Romance|Crime|Drama,Gary Fleder,Treat Williams|William Forsythe|Bill Nunn|Andy García|Christopher Lloyd,Five different criminals face imminent death after botching a job quite badly.
82,Antonia's Line,Comedy|Drama,Marleen Gorris,Carolien Spoor|Willeke van Ammelrooy|Veerle van Overloop|Dora van der Groen|Els Dottermans,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women."
83,Once Upon a Time... When We Were Colored,Romance|Drama,Tim Reid,Al Freeman Jr.|Phylicia Rashād|Paula Kelly|Salli Richardson-Whitfield|Anna Maria Horsford,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
85,Angels and Insects,Romance|Drama,Philip Haas,Patsy Kensit|Douglas Henshall|Jeremy Kemp|Kristin Scott Thomas|Mark Rylance,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor."
86,White Squall,Adventure|Action|Drama,Ridley Scott,Jeff Bridges|Scott Wolf|Jeremy Sisto|Caroline Goodall|John Savage,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm."
